"","actor1_missing_locations"
"1","Dan Na Ambassagou"
"2","Oyo State Park Management System"
"3","MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-)"
"4","Military Forces of Ethiopia (2018-)"
"5","TPLF: Tigray People's Liberation Front"
"6","Mayi Mayi Militia (Nyerere)"
"7","Military Forces of Algeria (2019-)"
"8","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)"
"9","VDP: Volunteer for Defense of Homeland"
"10","Military Forces of Burkina Faso (2015-)"
"11","Military Forces of Burundi (2005-)"
"12","Mayi Mayi Militia"
"13","Mayi Mayi Militia (Toronto)"
"14","Wagner Group"
"15","ECOMIG: Economic Community of West African States Mission in Gambia (2017-)"
"16","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-)"
"17","CPC: Coalition of Patriots for Change"
"18","Baggers Cult Militia"
"19","Dahalo Militia"
"20","Military Forces of France (2017-)"
"21","NURTW: National Union of Road Transport Workers"
"22","Koglweogo Militia"
"23","Mosogar Communal Militia (Militia)"
"24","Mayi Mayi Militia (Roger Magumu)"
"25","CODECO: Cooperative for Development of Congo"
"26","Sara-Suka Militia"
"27","Civilian JTF: Civilian Joint Task Force"
"28","Mayi Mayi Militia (Ilunga)"
"29","Former Militia (Kamwina Nsapu)"
"30","Mayi Mayi Militia (Kijangala)"
"31","Mayi Mayi Militia (Buhirwa)"
"32","NDC-R: Nduma Defence of Congo (Guidon Splinter Faction)"
"33","Mayi Mayi Militia (FPP/AP: Popular Patriotic Forces, People's Army-Kabido)"
"34","Ansaru"
"35","Anti-Balaka (Pro-Toudera Faction)"
"36","Mayi Mayi Militia (Mushombe)"
"37","Unidentified Armed Group (International)"
"38","Mayi Mayi Militia (Barcelone)"
"39","Military Forces of Eritrea (1993-)"
"40","Military Forces of the United States (2021-)"
"41","Military Forces of Kenya (2013-)"
"42","Mayi Mayi Militia (Mazembe)"
"43","Mayi Mayi Militia (Kyandenga)"
"44","Mayi Mayi Militia (Makanika)"
"45","301st Infantry Brigade"
"46","Mayi Mayi Militia (Makanaki)"
"47","Military Forces of Uganda (1986-)"
"48","Yansakai Militia"
"49","Tariq Ibn Ziyad Brigade"
"50","Ganda Izo"
"51","FLN: Front for the Liberation of the Northern Regions"
"52","OSPAC: ONELGA Security, Planning and Advisory Committee"
"53","Ansar al-Sharia"
"54","Mayi Mayi Militia (Raia Mutomboki)"
"55","CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy"
"56","Militia (Abukar Haji Warsame Xuud)"
"57","Mayi Mayi Militia (Hapa na pale)"
"58","Mayi Mayi Militia (Emmanuel)"
"59","Mayi Mayi Militia (Brown)"
"60","NDC-R: Nduma Defence of Congo (Bwira Splinter Faction)"
"61","Hunters Group of Nigeria"
"62","MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-)"
"63","Militia (Nur Dheere)"
"64","Mayi Mayi Militia (Yakutumba)"
"65","Military Forces of Israel (2021-)"
